name,scholar_url,professor,university,degree_type,field_of_study
Jia Deng,https://scholar.google.com/citations?user=U3Eub-EAAAAJ&hl=en,Fei-Fei Li,Stanford University,Princeton University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,Fei-Fei Li,Stanford University,you.com,ML
Li-Jia Li,https://scholar.google.com/citations?user=feX1fWAAAAAJ&hl=en,Fei-Fei Li,Stanford University,"Chief AI, IEEE Fellow",ML
Hao Su,https://scholar.google.com/citations?user=1P8Zu04AAAAJ&hl=en,Fei-Fei Li,Stanford University,UCSD CSE,ML
Jonathan Krause,https://scholar.google.com/citations?user=7DwDYzkAAAAJ&hl=en,Fei-Fei Li,Stanford University,Google,ML
Sanjeev Satheesh,https://scholar.google.com/citations?user=VUi7eM8AAAAJ&hl=en,Fei-Fei Li,Stanford University,Stanford University,ML
Andrej Karpathy,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en,Fei-Fei Li,Stanford University,"Computer Science PhD student, Stanford University",ML
George Toderici,https://scholar.google.com/citations?user=xfRtWTIAAAAJ&hl=en,Fei-Fei Li,Stanford University,"Google, Inc.",ML
Jia Deng,https://scholar.google.com/citations?user=U3Eub-EAAAAJ&hl=en,https://www.linkedin.com/in/jia-deng-73bb4430,Fei-Fei Li,Stanford University,Princeton University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,https://www.linkedin.com/in/richardsocher,Fei-Fei Li,Stanford University,you.com,ML
Li-Jia Li,https://scholar.google.com/citations?user=feX1fWAAAAAJ&hl=en,https://www.linkedin.com/in/lijiali,Fei-Fei Li,Stanford University,"Chief AI, IEEE Fellow",ML
Hao Su,https://scholar.google.com/citations?user=1P8Zu04AAAAJ&hl=en,https://www.linkedin.com/in/suhaochina,Fei-Fei Li,Stanford University,UCSD CSE,ML
Jonathan Krause,https://scholar.google.com/citations?user=7DwDYzkAAAAJ&hl=en,https://www.linkedin.com/in/jonathan-krause-a95883170,Fei-Fei Li,Stanford University,Google,ML
Sanjeev Satheesh,https://scholar.google.com/citations?user=VUi7eM8AAAAJ&hl=en,https://www.linkedin.com/in/sanjeev-satheesh-1581b222,Fei-Fei Li,Stanford University,Stanford University,ML
Andrej Karpathy,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en,not found,Fei-Fei Li,Stanford University,"Computer Science PhD student, Stanford University",ML
George Toderici,https://scholar.google.com/citations?user=xfRtWTIAAAAJ&hl=en,https://www.linkedin.com/in/toderici,Fei-Fei Li,Stanford University,"Google, Inc.",ML
Jia Deng,https://scholar.google.com/citations?user=U3Eub-EAAAAJ&hl=en,https://www.linkedin.com/in/jia-deng-73bb4430,Fei-Fei Li,Stanford University,Princeton University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,https://www.linkedin.com/in/richardsocher,Fei-Fei Li,Stanford University,you.com,ML
Li-Jia Li,https://scholar.google.com/citations?user=feX1fWAAAAAJ&hl=en,https://www.linkedin.com/in/lijiali,Fei-Fei Li,Stanford University,"Chief AI, IEEE Fellow",ML
Hao Su,https://scholar.google.com/citations?user=1P8Zu04AAAAJ&hl=en,https://www.linkedin.com/in/suhaochina,Fei-Fei Li,Stanford University,UCSD CSE,ML
Jonathan Krause,https://scholar.google.com/citations?user=7DwDYzkAAAAJ&hl=en,https://www.linkedin.com/in/jonathan-krause-a95883170,Fei-Fei Li,Stanford University,Google,ML
Sanjeev Satheesh,https://scholar.google.com/citations?user=VUi7eM8AAAAJ&hl=en,https://www.linkedin.com/in/sanjeev-satheesh-1581b222,Fei-Fei Li,Stanford University,Stanford University,ML
Andrej Karpathy,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en,not found,Fei-Fei Li,Stanford University,"Computer Science PhD student, Stanford University",ML
George Toderici,https://scholar.google.com/citations?user=xfRtWTIAAAAJ&hl=en,https://www.linkedin.com/in/toderici,Fei-Fei Li,Stanford University,"Google, Inc.",ML
